"freq_high [MHz]","freq_low [MHz]","Freq [MHz]","re(Z(1,1)) []","im(Z(1,1)) []","re(Z(1,1))_1 []","im(Z(1,1))_1 []","re(Z(1,1))_2 []","im(Z(1,1))_2 []","re(Z(1,1))_3 []","im(Z(1,1))_3 []","re(Z(1,1))_4 []","im(Z(1,1))_4 []"
3,1,1,,,,,,,,,7.53818311187196,-2573.40884262929
3,1,2,,,,,,,,,6.67711222725473,-1270.4794058466
3,1,3,,,,,,,,,6.18426388276266,-827.885711492134
6,3,3,,,,,,,6.14848999875848,-836.165367840353,,
6,3,4,,,,,,,6.09717042487511,-606.053877046692,,
6,3,5,,,,,,,6.7451587383221,-462.15196540598,,
6,3,6,,,,,,,8.20289117902253,-361.062044936478,,
12,6,6,,,,,8.06839454164741,-358.099335270931,,,,
12,6,7,,,,,9.82171676778666,-281.447713771054,,,,
12,6,8,,,,,12.6731240480351,-219.082005363528,,,,
12,6,9,,,,,16.9153751308328,-165.884453441905,,,,
12,6,10,,,,,22.7154142554187,-118.913790792591,,,,
12,6,11,,,,,30.1226343709278,-76.0718246887726,,,,
12,6,12,,,,,39.3134411278999,-35.8808117104484,,,,
25,12,12,,,36.9363074544302,-37.2553126531735,,,,,,
25,12,13,,,47.9643372758432,2.66055106153664,,,,,,
25,12,14,,,61.527665647374,42.6043070109487,,,,,,
25,12,15,,,78.3824800566934,84.5276275876011,,,,,,
25,12,16,,,100.643222174462,130.917950102842,,,,,,
25,12,17,,,132.515045063843,184.450923558936,,,,,,
25,12,18,,,181.363914893728,247.924814499647,,,,,,
25,12,19,,,261.329842872628,324.81998282539,,,,,,
25,12,20,,,407.40093905781,416.139751029722,,,,,,
25,12,21,,,696.591692616642,477.789532561934,,,,,,
25,12,22,,,1729.53355065044,600.75801573506,,,,,,
25,12,23,,,600.346399957116,-802.070169277654,,,,,,
25,12,24,,,327.749037927021,-570.013762376837,,,,,,
25,12,25,,,224.057585182104,-451.407874031582,,,,,,
50,25,25,223.519813862526,-472.457959523976,,,,,,,,
50,25,26,163.292006523652,-387.510720485765,,,,,,,,
50,25,27,127.340961082404,-325.226751294861,,,,,,,,
50,25,28,103.758983774316,-276.220515463718,,,,,,,,
50,25,29,87.2041650225819,-235.294605562396,,,,,,,,
50,25,30,75.275337490786,-199.113631227687,,,,,,,,
50,25,31,67.1544200382264,-165.611170819902,,,,,,,,
50,25,32,62.7607801289893,-133.933560515945,,,,,,,,
50,25,33,61.8762318588074,-103.888840280027,,,,,,,,
50,25,34,63.8997354507436,-75.3160192550774,,,,,,,,
50,25,35,68.3132193738116,-47.4227559768982,,,,,,,,
50,25,36,75.444908655452,-18.8944192690287,,,,,,,,
50,25,37,87.0686881482497,11.4751103723614,,,,,,,,
50,25,38,106.897521975376,43.4787705289432,,,,,,,,
50,25,39,139.822354909833,72.0646700831565,,,,,,,,
50,25,40,182.410132488447,84.341869363373,,,,,,,,
50,25,41,211.936291729507,81.8668485636421,,,,,,,,
50,25,42,230.044212176405,97.5669242073748,,,,,,,,
50,25,43,277.292527537727,138.140837737859,,,,,,,,
50,25,44,392.882521180292,165.278202255221,,,,,,,,
50,25,45,566.758570211947,79.5051355942296,,,,,,,,
50,25,46,623.734561004632,-165.338997042884,,,,,,,,
50,25,47,476.097280690087,-339.507478503062,,,,,,,,
50,25,48,324.165242981889,-363.046623426219,,,,,,,,
50,25,49,228.67807332585,-335.949961220186,,,,,,,,
50,25,50,169.545687432113,-299.861907248787,,,,,,,,
